"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Singapore","SGP","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23067614407","0.22341376229","0.47516568163","0.29291423722","0.12214839483","0.23886367771","0.23446457279","0.23088076394","0.26579294198","0.11254252701","0.25975886214","0.18378569118","0.25510966436","","",
"Singapore","SGP","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","12.7368253462824","","13.1401742138753","9.84588464903426","","","","","1.24198214061124","1.54069673586672","1.56874590300896","1.26071694742651","1.65922085981957","1.90841361242256","1.69871717978333","2.31643526351115","1.87774525813908","3.00851603551368","5.0518303911218","4.70452932684073","5.56844892737065","5.62991563737879","5.62670667064412","4.9459427457624","5.72706040585611","5.71362777818648","4.82565401859171","4.32120593603087","4.06936490070693","4.16687450690857","4.21920077671095","3.4988158897261","3.27399289611267","2.79346349532984","2.60541304293763","2.83576823771088","2.95746228820357","3.00318703708045","3.76791720554064","3.62745491859107","3.4062340929835","3.72083008635267","3.46420282065821","3.05806877861975","3.17564115859029","3.55341941492953","3.87064400899478","4.31361159036676","4.66567405182425","4.63553901020378","5.0523495733895","4.87511355081739","3.8688367281638","4.15969935706609","4.31994804603867","4.48454676670554","4.4528895944165","4.66111048581403","4.58045569417337","4.39597567328218","",
"Singapore","SGP","Export unit value index (2000 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","123","129","124","120","114","108","94","100","104","106","115","114","113","112","113","120","119","112","97","96","100","89.64522639","85.51218965","78.73242385","83.71183345","88.19021856","93.94278894","96.21997471","105.4761357","93.200393","101.282054","112.815568","112.3404983","108.204005","107.1400988","88.82217312","83.26429988","88.88975067","94.29905045","91.96523023","",
"Singapore","SGP","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","","","0.0500316465234034","0.03634131368938","0.0455705061174336","0.0180635198362241","0.0144444346182984","0.0468391357499218","0.0620382987879223","0.0440059149849974","0.0522447036105058","0.0453470577396926","0.072143006871564","0.0393819247731573","0.0214432426513175","0.0212130684105139","0.130450551221004","0.0262390680905592","0.0427960654127571","0.129542416852176","0.0222232586979365","0.0346337223343987","0.0545703462823553","0.0286930723849864","0.0806707368259128","0.142971777332079","0.194640811290818","0.17069527558118","0.390802010872742","0.444849968950698","0.312314439005695","0.484142512060241","0.273208009766927","0.298430713148829","0.372663539399701","0.461486987588347","0.521715952542431","0.574222071196461","0.56587006317423","0.612064910563095","0.638803928843625","0.720914286148296","1.35813346385278","1.4665084790352","1.5755859662441","1.57638067535192","1.5241585420609","1.78550672588526","2.62832322516182","2.1318431905331","1.25661613991446","1.79311129329926","1.90159315322602","1.6842974811041","",
"Singapore","SGP","Share of tariff lines with specific rates, primary products (%)","TM.TAX.TCOM.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.576965","","","","","","0.1489296","2.275996","2.275996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Singapore","SGP","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0452598","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Singapore","SGP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2867000","3305000","3671000","3745000","3971000","4444000","4363000","4399000","4221000","5165000","5159000","5533000","6024000","6828000","6961000","7342000","7753000","8048000","8647000","8903000","9125000","9474000","9889000","10378000","10711000","",
"Singapore","SGP","Population, male","SP.POP.TOTL.MA.IN","867311","893774","914737","933475","953277","973097","994924","1015287","1031718","1046465","1062075","1081023","1100683","1121009","1139451","1155880","1171185","1187085","1201093","1216013","1231356","1292107","1350407","1368124","1393429","1393348","1388682","1405329","1436851","1476101","1533022","1577784","1628170","1673524","1731340","1789611","1869526","1939711","2012282","2031181","2065671","2116323","2125991","2084764","2104920","2156095","2234296","2345726","2493592","2587710","2646760","2709949","2780596","2826421","2862740","2896581","2934565","2937348","2951389","2985477","2976134",
"Singapore","SGP","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","0.672997666958674","0.695287248332183","0.718642110454835","0.74578639420138","0.781099913437134","0.824601471944966","0.867582847886024","0.915926738450982","0.962576188958897","1.00509907361958","1.04810712841389","1.09280076513514","1.13800309862693","1.18131460022255","1.2255264426941","1.27565791378362","1.31854924759564","1.37402518781433","1.43990622162642","1.50824552874211","1.57048254567984","1.61943622147589","1.66007507681628","1.69183357794753","1.71730953553233","1.73995108764831","1.72767757278924","1.71627298098225","1.7085690628666","1.70230423912783","1.6941703281069","1.65933110020514","1.6270950644657","1.60657543221866","1.60896197991051","1.63728895784947","1.67710704076871","1.74553207445162","1.83717581164287","1.93207010998633","2.00637286670987","2.03860129300175","2.05991644989997","2.0884394848336","2.1316349920995","2.1760182932292","2.18353424456562","2.2083109919571","2.24606498020287","2.27192651367617","2.25941957525746","2.22023788433663","2.1565660631288","2.12121701868287","2.15911200856309","2.26274253383497","2.42714969940333","2.64820478136854","2.92024032788152","3.2363056226472","3.58945168836255",
"Singapore","SGP","Population ages 45-49, female (% of female population)","SP.POP.4549.FE.5Y","4.12778803614338","4.1074281100398","4.07390922542073","4.00698628940704","3.90391747824063","3.78245651846419","3.73831976226492","3.70011320560719","3.67772969750542","3.68213792192843","3.71791284297081","3.77804873080493","3.86614616839933","3.97147429818571","4.07431051507567","4.16172085347847","4.21423233146687","4.25330070501524","4.29250619040185","4.35341545160027","4.44457986735326","4.58974393012173","4.76978632544478","4.94566399898726","5.06534157119199","5.10694963624545","4.91732107326607","4.67704347325719","4.47293933905059","4.40600425936151","4.51803245400879","4.91099945470125","5.44532465347676","6.05427005209177","6.63578196690976","7.12756818484305","7.44548141766519","7.68365473911849","7.87273792582134","8.06178635990908","8.27815413084859","8.47193258478861","8.6711642965021","8.86063832763833","9.01227794662494","9.10632323252433","9.10861663055047","9.07077747989276","8.99998358518554","8.90283532612653","8.78462754307868","8.6796690782609","8.53408059797845","8.37646955606247","8.2457703799586","8.16484779185935","8.16559404810808","8.20706031111242","8.26810422177339","8.31219359123277","8.3159916874874",
